parent,sku,price,override_price,preparation_days,weight,length,width,height,images,tags,defaultTags
68784,PMRA6BL03E,2140,2090,10,0.2,21.5,15.5,3,,,
68784,PMRA6BL03N,1890,1840,16,0.2,21.5,15.5,3,,,
68784,PMRA1BL02E,6590,5590,10,6.94,96.5,72,6,,,
68784,PMRA1BL02N,6090,5090,16,6.94,96.5,72,6,,,
68784,PMRA2BL02E,4290,3890,10,2.68,68,48.5,6,,,
68784,PMRA2BL02N,3890,3490,16,2.68,68,48.5,6,,,
68784,PMRA5BL05E,3040,2940,10,0.35,27.2,19.2,3.7,,,
68784,PMRA203E,4390,4090,10,2.68,68,49.5,6,,,
68784,PMRA5BL05N,2790,2690,16,0.35,27.2,19.2,3.7,,,
68784,PMRA203N,3990,3690,16,2.68,68,48.5,6,,,
68784,PMRA303E,3290,2990,10,1.25,51.5,36,4,,,
68784,PMRA303N,2990,2690,16,1.25,51.5,36,4,,,
68784,PMRA6BL05E,2740,2690,10,0.2,21.5,15.5,3,,,
68784,PMRA403E,2690,2490,10,0.68,37,27.5,4,,,
68784,PMRA6BL05N,2490,2440,16,0.2,21.5,15.5,3,,,
68784,PMRA403N,2390,2190,16,0.68,37,27.5,4,,,
68784,PMRA503E,2240,2140,10,0.35,27.2,19.2,3.7,,,
68784,PMRA503N,1990,1890,16,0.35,27.2,19.2,3.7,,,
68784,PMRA102E,6590,5890,10,6.94,96.5,72,6,,,
68784,PMRA102N,6090,5390,16,6.94,96.5,72,6,,,
68784,PMRA202E,4090,3790,10,2.68,68,48.5,6,,,
68784,PMRA202N,3690,3390,16,2.68,68,48.5,6,,,
68784,PMRA1BL04E,7190,6190,10,6.94,96.5,72,6,,,
68784,PMRA302E,2990,2690,10,1.25,51.5,36,4,,,
68784,PMRA1BL04N,6690,5690,16,6.94,96.5,72,6,,,
68784,PMRA302N,2690,2390,16,1.25,51.5,36,4,,,
68784,PMRA402E,2390,2190,10,0.68,37,27.5,4,,,
68784,PMRA402N,2090,1890,16,0.68,37,27.5,4,,,
68784,PMRA2BL04E,4890,4490,10,2.68,68,48.5,6,,,
68784,PMRA502E,1940,1840,10,0.35,27.2,19.2,3.7,,,
68784,PMRA2BL04N,4490,4090,16,2.68,68,48.5,6,,,
68784,PMRA502N,1690,1590,16,0.35,27.2,19.2,3.7,,,
68784,PMRA3BL04E,3790,3390,10,1.25,51.5,36,4,,,
68784,PMRA3BL04N,3490,3090,16,1.25,51.5,36,4,,,
68784,PMRA4BL04E,3090,2890,10,0.68,37,27.5,4,,,
68784,PMRA4BL04N,2790,2590,16,0.68,37,27.5,4,,,
68784,PMRA5BL04E,2740,2640,10,0.35,27.2,19.2,3.7,,,
68784,PMRA306E,4190,3890,10,1.25,51.5,36,4,,,
68784,PMRA5BL04N,2490,2390,16,0.35,27.2,19.2,3.7,,,
68784,PMRA306N,3890,3590,16,1.25,51.5,36,4,,,
68784,PMRA406E,3590,3390,10,0.68,37,27.5,4,,,
68784,PMRA406N,3290,3090,16,0.68,37,27.5,4,,,
68784,PMRA6BL04E,2440,2390,10,0.2,21.5,15.5,3,,,
68784,PMRA506E,3140,3040,10,0.35,27.2,19.2,3.7,,,
68784,PMRA6BL04N,2190,2140,16,0.2,21.5,15.5,3,,,
68784,PMRA506N,2890,2790,16,0.35,27.2,19.2,3.7,,,
68784,PMRA105E,7490,6790,10,6.94,96.5,72,6,,,
68784,PMRA105N,6990,6290,16,6.94,96.5,72,6,,,
68784,PMRA2BL06E,5490,5090,10,2.68,68,48.5,6,,,
68784,PMRA205E,4990,4690,10,2.68,68,49.5,6,,,
68784,PMRA2BL06N,5090,4690,16,2.68,68,48.5,6,,,
68784,PMRA205N,4590,4290,16,2.68,68,48.5,6,,,
68784,PMRA305E,3890,3590,10,1.25,51.5,36,4,,,
68784,PMRA305N,3590,3290,16,1.25,51.5,36,4,,,
68784,PMRA3BL06E,4390,3990,10,1.25,51.5,36,4,,,
68784,PMRA405E,3290,3090,10,0.68,37,27.5,4,,,
68784,PMRA3BL06N,4090,3690,16,1.25,51.5,36,4,,,
68784,PMRA405N,2990,2790,16,0.68,37,27.5,4,,,
68784,PMRA505E,2840,2740,10,0.35,27.2,19.2,3.7,,,
68784,PMRA505N,2590,2490,16,0.35,27.2,19.2,3.7,,,
68784,PMRA4BL06E,3690,3490,10,0.68,37,27.5,4,,,
68784,PMRA104E,7190,6490,10,6.94,96.5,72,6,,,
68784,PMRA4BL06N,3390,3190,16,0.68,37,27.5,4,,,
68784,PMRA104N,6690,5990,16,6.94,96.5,72,6,,,
68784,PMRA204E,4690,4390,10,2.68,68,48.5,6,,,
68784,PMRA204N,4290,3990,16,2.68,68,48.5,6,,,
68784,PMRA5BL06E,3340,3240,10,0.35,27.2,19.2,3.7,,,
68784,PMRA304E,3590,3290,10,1.25,51.5,36,4,,,
68784,PMRA5BL06N,3090,2990,16,0.35,27.2,19.2,3.7,,,
68784,PMRA304N,3290,2990,16,1.25,51.5,36,4,,,
68784,PMRA404E,2990,2790,10,0.68,37,27.5,4,,,
68784,PMRA404N,2690,2490,16,0.68,37,27.5,4,,,
68784,PMRA6BL06E,3040,2990,10,0.2,21.5,15.5,3,,,
68784,PMRA504E,2540,2440,10,0.35,27.2,19.2,3.7,,,
68784,PMRA6BL06N,2790,2740,16,0.2,21.5,15.5,3,,,
68784,PMRA504N,2290,2190,16,0.35,27.2,19.2,3.7,,,
68784,PMRA103E,6890,6190,10,6.94,96.5,72,6,,,
68784,PMRA103N,6390,5690,16,6.94,96.5,72,6,,,
68784,PMRA106E,7790,7090,10,6.94,96.5,72,6,,,
68784,PMRA106N,7290,6590,16,6.94,96.5,72,6,,,
68784,PMRA206E,5290,4990,10,2.68,68,48.5,6,,,
68784,PMRA206N,4890,4590,16,2.68,68,48.5,6,,,
68784,PMRA1BL05E,7490,6490,10,6.94,96.5,72,6,,,
68784,PMRA602E,1840,1790,10,0.2,21.5,15.5,3,,,
68784,PMRA1BL05N,6990,5990,16,6.94,96.5,72,6,,,
68784,PMRA602N,1590,1540,16,0.2,21.5,15.5,3,,,
68784,PMRA3BL05N,3790,3390,16,1.25,51.5,36,4,,,
68784,PMRA603N,1890,1840,16,0.2,21.5,15.5,3,,,
68784,PMRA606E,3040,2990,10,0.2,21.5,15.5,3,,,
68784,PMRA606N,2790,2740,16,0.2,21.5,15.5,3,,,
68784,PMRA2BL05E,5190,4790,10,2.68,68,48.5,6,,,
68784,PMRA605E,2740,2690,10,0.2,21.5,15.5,3,,,
68784,PMRA4BL05E,3390,3190,10,0.68,37,27.5,4,,,
68784,PMRA605N,2490,2440,16,0.2,21.5,15.5,3,,,
68784,PMRA2BL05N,4790,4390,16,2.68,68,48.5,6,,,
68784,PMRA604E,2440,2390,10,0.2,21.5,15.5,3,,,
68784,PMRA4BL05N,3090,2890,16,0.68,37,27.5,4,,,
68784,PMRA604N,2190,2140,16,0.2,21.5,15.5,3,,,
68784,PMRA603E,2140,2090,10,0.2,21.5,15.5,3,,,
68784,PMRA003BLE,8890,7890,10,,,,,,,
68784,PMRA003BLN,8390,7390,16,,,,,,,
68784,PMRA3BL05E,4090,3690,10,1.25,51.5,36,4,,,
68784,PMRA002BLE,8590,7590,10,,,,,,,
68784,PMRA002BLN,8090,7090,16,,,,,,,
68784,PMRA004BLE,9190,8190,10,,,,,,,
68784,PMRA004BLN,8690,7690,16,,,,,,,
68784,PMRA005BLE,9490,8490,10,,,,,,,
68784,PMRA005BLN,8990,7990,16,,,,,,,
68784,PMRA006BLE,9790,8790,10,,,,,,,
68784,PMRA1BL06E,7790,6790,10,6.94,96.5,72,6,,,
68784,PMRA006BLN,9290,8290,16,,,,,,,
68784,PMRA1BL06N,7290,6290,16,6.94,96.5,72,6,,,
6453,OTAA0BL06E,11290,10290,11,,,,,,,
6453,OTAA0BL06N,10790,9790,17,,,,,,,
